,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.46333038087532863,,Intercept,-39.39911748400237,-39.0,0.39911748400236746,-39.0
1,1,grade:A,0.9428642707888489,5.290853943429713e-25,grade,80.17609401329922,80.0,-0.17609401329922036,80.0
2,2,grade:B,0.7301666220720825,2.5001022912494613e-32,grade,62.08943275329038,62.0,-0.08943275329038158,62.0
3,3,grade:C,0.5472890246132026,1.0978256826500501e-21,grade,46.538507873591506,47.0,0.46149212640849413,47.0
4,4,grade:D,0.3721002695728611,7.008305128099354e-12,grade,31.641400697777428,32.0,0.3585993022225722,32.0
5,5,grade:E,0.2183106347456585,5.910955399642755e-06,grade,18.563959328766146,19.0,0.4360406712338545,19.0
6,6,grade:F,0.04903020473608799,0.3272023205864395,grade,4.16926425807076,4.0,-0.1692642580707604,4.0
7,7,home_ownership:OWN,0.09619042984395282,1.8698319665171346e-06,home_ownership,8.17951553079429,8.0,-0.1795155307942906,8.0
8,8,home_ownership:MORTGAGE,0.10473667228443803,1.1775308943357576e-16,home_ownership,8.906241909762404,9.0,0.09375809023759629,9.0
9,9,addr_state:NM_VA,0.044846424458016856,0.16090738697965012,addr_state,3.8134981406157293,4.0,0.18650185938427066,4.0
10,10,addr_state:NY,0.06992169836231674,0.003871332743406995,addr_state,5.945764236857069,6.0,0.054235763142931326,6.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.06696188615360404,0.0037719312802949934,addr_state,5.694077764838231,6.0,0.305922235161769,6.0
12,12,addr_state:CA,0.07365928132343341,0.0005001196017901346,addr_state,6.263588140208799,6.0,-0.2635881402087987,6.0
13,13,addr_state:UT_KY_AZ_NJ,0.08880960853071888,0.00035887030543166614,addr_state,7.551890280968985,8.0,0.4481097190310148,8.0
14,14,addr_state:AR_MI_PA_OH_MN,0.14587694896542258,8.951952463914899e-11,addr_state,12.404589225594078,12.0,-0.4045892255940782,12.0
15,15,addr_state:RI_MA_DE_SD_IN,0.11382317675075142,0.00013647042692695614,addr_state,9.6789092585144,10.0,0.3210907414855999,10.0
16,16,addr_state:GA_WA_OR,0.19664388764750013,1.6045531943713014e-13,addr_state,16.72153597460624,17.0,0.2784640253937596,17.0
17,17,addr_state:WI_MT,0.2436453079914559,2.8784673830549095e-07,addr_state,20.718283346423355,21.0,0.28171665357664466,21.0
18,18,addr_state:TX,0.23267259228641282,3.1613791059672203e-19,addr_state,19.785222763681478,20.0,0.21477723631852186,20.0
19,19,addr_state:IL_CT,0.27212991100942086,1.1407046126201426e-20,addr_state,23.140460408652192,23.0,-0.14046040865219211,23.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3343448938484558,2.3448000086278363e-27,addr_state,28.430887109162235,28.0,-0.43088710916223505,28.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.501560622195647,1.5568945056522708e-21,addr_state,42.65001108259477,43.0,0.3499889174052271,43.0
22,22,verification_status:Not Verified,0.08036516570749651,3.652312140931847e-08,verification_status,6.833820392587109,7.0,0.16617960741289117,7.0
23,23,verification_status:Source Verified,-0.013022671105724882,0.33234151066578477,verification_status,-1.1073777374163511,-1.0,0.10737773741635115,-1.0
24,24,purpose:credit_card,0.2832895552490664,1.8945116128104904e-23,purpose,24.089416386127308,24.0,-0.08941638612730785,24.0
25,25,purpose:debt_consolidation,0.17784553049768323,9.931382158415792e-12,purpose,15.123025036358142,15.0,-0.12302503635814155,15.0
26,26,purpose:oth__med__vacation,0.18826368040172933,1.5714957062728122e-09,purpose,16.00892833339643,16.0,-0.008928333396429622,16.0
27,27,purpose:major_purch__car__home_impr,0.2420606539721248,1.0485816538625959e-14,purpose,20.583532912486408,21.0,0.41646708751359185,21.0
28,28,initial_list_status:w,0.049319273517442384,0.00015849922994721805,initial_list_status,4.193845108685441,4.0,-0.1938451086854407,4.0
29,29,term:36,0.08071118297625589,7.797031859944067e-09,term,6.863243835525578,7.0,0.13675616447442174,7.0
30,30,emp_length:1,0.10917818400983949,2.578491843260555e-05,emp_length,9.283924119905995,9.0,-0.2839241199059952,9.0
31,31,emp_length:2-4,0.1334972828600092,1.4619683990616653e-12,emp_length,11.351889166559646,11.0,-0.35188916655964597,11.0
32,32,emp_length:5-6,0.10014412232897169,2.851696223959655e-06,emp_length,8.515716222876232,9.0,0.4842837771237676,9.0
33,33,emp_length:7-9,0.06704406852264803,0.0012542208242827617,emp_length,5.7010661104048665,6.0,0.29893388959513345,6.0
34,34,emp_length:10,0.12990369323222245,1.7523001680350936e-12,emp_length,11.046309679915623,11.0,-0.04630967991562329,11.0
35,35,mths_since_issue_d:<38,1.133319198628996,3.2417653249235236e-201,mths_since_issue_d,96.3713542144649,96.0,-0.37135421446490113,96.0
36,36,mths_since_issue_d:38-39,0.943318386487064,6.263130516744906e-175,mths_since_issue_d,80.21470956385194,80.0,-0.2147095638519403,80.0
37,37,mths_since_issue_d:40-41,0.8432394426359663,9.705246986565976e-148,mths_since_issue_d,71.70453576731593,72.0,0.2954642326840684,72.0
38,38,mths_since_issue_d:42-48,0.6517423721412656,8.878595051509817e-114,mths_since_issue_d,55.420657373653825,55.0,-0.4206573736538246,55.0
39,39,mths_since_issue_d:49-52,0.48771529138659725,1.2444551863975833e-56,mths_since_issue_d,41.472678799483795,41.0,-0.4726787994837949,41.0
40,40,mths_since_issue_d:53-64,0.2425385817166885,4.3873859955261005e-17,mths_since_issue_d,20.624173311074898,21.0,0.37582668892510185,21.0
41,41,mths_since_issue_d:65-84,-0.008368480029601421,0.77216704089738,mths_since_issue_d,-0.7116104219755697,-1.0,-0.2883895780244303,-1.0
42,42,int_rate:<9.548,0.9654097187966496,9.946566976991624e-37,int_rate,82.09323735518556,82.0,-0.09323735518556475,82.0
43,43,int_rate:9.548-12.025,0.6275312588218317,8.080451363724786e-45,int_rate,53.361874834316,53.0,-0.3618748343159979,53.0
44,44,int_rate:12.025-15.74,0.36249575355989466,5.836116021014174e-23,int_rate,30.824684440024264,31.0,0.17531555997573633,31.0
45,45,int_rate:15.74-20.281,0.15000196237160462,2.3642051551648044e-07,int_rate,12.755358125112847,13.0,0.2446418748871526,13.0
46,46,mths_since_earliest_cr_line:141-164,0.0768711261218913,0.0019843789173505447,mths_since_earliest_cr_line,6.536706104793286,7.0,0.46329389520671427,7.0
47,47,mths_since_earliest_cr_line:165-247,0.057055653334680316,0.0043986289569412015,mths_since_earliest_cr_line,4.851705136651615,5.0,0.1482948633483847,5.0
48,48,mths_since_earliest_cr_line:248-270,0.10569953919519413,5.55468230082409e-05,mths_since_earliest_cr_line,8.988118920431699,9.0,0.01188107956830109,9.0
49,49,mths_since_earliest_cr_line:271-352,0.14597674717629167,4.3597619160204724e-10,mths_since_earliest_cr_line,12.413075527371431,12.0,-0.41307552737143105,12.0
50,50,mths_since_earliest_cr_line:>352,0.1530227937430402,7.642807629758646e-09,mths_since_earliest_cr_line,13.012233337736937,13.0,-0.012233337736937244,13.0
51,51,inq_last_6mths:0,0.26594316946224605,0.00423714382728675,inq_last_6mths,22.614373264097154,23.0,0.38562673590284646,23.0
52,52,inq_last_6mths:1-2,0.1215184448770584,0.1907874838850816,inq_last_6mths,10.333273369942804,10.0,-0.33327336994280365,10.0
53,53,inq_last_6mths:3-6,-0.08615565895457053,0.3562867568060266,inq_last_6mths,-7.3262127181255,-7.0,0.32621271812550034,-7.0
54,54,acc_now_delinq:>=1,0.1452079248702792,0.17301727208140916,acc_now_delinq,12.347699023672968,12.0,-0.347699023672968,12.0
55,55,annual_inc:20K-30K,-0.18076220478601002,2.7945377740057086e-05,annual_inc,-15.371043292211036,-15.0,0.37104329221103605,-15.0
56,56,annual_inc:30K-40K,-0.11712127194475434,0.004821033689956436,annual_inc,-9.95936149170588,-10.0,-0.04063850829411919,-10.0
57,57,annual_inc:40K-50K,-0.02223797585578768,0.592057380878785,annual_inc,-1.890997567855021,-2.0,-0.10900243214497896,-2.0
58,58,annual_inc:50K-60K,0.04251286890171875,0.3114878357103663,annual_inc,3.61506515777454,4.0,0.38493484222545993,4.0
59,59,annual_inc:60K-70K,0.12108873658099802,0.004780661816724939,annual_inc,10.296733293273649,10.0,-0.2967332932736486,10.0
60,60,annual_inc:70K-80K,0.19212358298599388,1.115033800092113e-05,annual_inc,16.3371536379986,16.0,-0.33715363799860043,16.0
61,61,annual_inc:80K-90K,0.2682702174985955,3.6016236024679973e-09,annual_inc,22.812252882528043,23.0,0.18774711747195738,23.0
62,62,annual_inc:90K-100K,0.27915947573564626,2.773135982365254e-09,annual_inc,23.73821669216358,24.0,0.2617833078364207,24.0
63,63,annual_inc:100K-120K,0.35953071734217995,1.1966037585875681e-14,annual_inc,30.572553746445816,31.0,0.42744625355418364,31.0
64,64,annual_inc:120K-140K,0.4802797185392108,1.2228509133449426e-19,annual_inc,40.840397774394134,41.0,0.159602225605866,41.0
65,65,annual_inc:>140K,0.38615631762015473,1.6328683726641398e-15,annual_inc,32.83665123871944,33.0,0.16334876128055953,33.0
66,66,dti:<=1.4,0.05775569363513306,0.5009795643660729,dti,4.911232789444354,5.0,0.08876721055564563,5.0
67,67,dti:1.4-3.5,0.16791682231388896,0.021348965684396964,dti,14.27874122432177,14.0,-0.2787412243217702,14.0
68,68,dti:3.5-7.7,0.20135747770824808,0.0016192332188463407,dti,17.122354259442186,17.0,-0.12235425944218647,17.0
69,69,dti:7.7-10.5,0.1349137350120629,0.03366893103320382,dti,11.472336620585436,11.0,-0.4723366205854358,11.0
70,70,dti:10.5-16.1,0.05408237402383822,0.3801224990816171,dti,4.5988734948773144,5.0,0.40112650512268555,5.0
71,71,dti:16.1-20.3,-0.04782500381385612,0.43825297151285747,dti,-4.066780469640711,-4.0,0.06678046964071083,-4.0
72,72,dti:20.3-21.7,-0.06584767592153752,0.30528744672109565,dti,-5.599331334111775,-6.0,-0.40066866588822503,-6.0
73,73,dti:21.7-22.4,-0.09510743923556857,0.16257015857971446,dti,-8.087423848541139,-8.0,0.08742384854113894,-8.0
74,74,dti:22.4-35,-0.139211703094949,0.022616828411984497,dti,-11.837812653303624,-12.0,-0.1621873466963759,-12.0
75,75,mths_since_last_delinq:Missing,0.07677176304156656,0.14867939841137434,mths_since_last_delinq,6.5282568041713605,7.0,0.47174319582863955,7.0
76,76,mths_since_last_delinq:4-30,0.10079218423369246,0.060448488495350804,mths_since_last_delinq,8.570823913144165,9.0,0.4291760868558345,9.0
77,77,mths_since_last_delinq:31-56,0.144417041544088,0.007876383898253746,mths_since_last_delinq,12.280446569763345,12.0,-0.28044656976334537,12.0
78,78,mths_since_last_delinq:>=57,0.09507627795683994,0.08721462183406066,mths_since_last_delinq,8.084774061408119,8.0,-0.08477406140811894,8.0
79,79,mths_since_last_record:Missing,0.1350919231557337,0.10988441312085392,mths_since_last_record,11.487488779598792,11.0,-0.48748877959879167,11.0
80,80,mths_since_last_record:3-20,0.23201473451720758,0.062436537851740824,mths_since_last_record,19.729282085913457,20.0,0.2707179140865428,20.0
81,81,mths_since_last_record:21-31,0.14896293445742848,0.19391543559126123,mths_since_last_record,12.667004793344605,13.0,0.3329952066553954,13.0
82,82,mths_since_last_record:32-80,0.3087265164748064,0.00048461487080122395,mths_since_last_record,26.252438422099967,26.0,-0.25243842209996714,26.0
83,83,mths_since_last_record:81-86,-0.06640645696102222,0.5245863719289039,mths_since_last_record,-5.646847060969355,-6.0,-0.35315293903064493,-6.0
84,84,mths_since_last_record:>86,0.03246096849164893,0.7098543997216071,mths_since_last_record,2.7603057430225073,3.0,0.2396942569774927,3.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
