,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.4633303808753286,,Intercept,-39.39911748400237,-39.0,0.39911748400236746,-39.0
1,1,grade:A,0.9428642707888488,5.290853943429713e-25,grade,80.1760940132992,80.0,-0.17609401329920615,80.0
2,2,grade:B,0.7301666220720825,2.5001022912494613e-32,grade,62.08943275329038,62.0,-0.08943275329038158,62.0
3,3,grade:C,0.5472890246132026,1.09782568265005e-21,grade,46.538507873591506,47.0,0.46149212640849413,47.0
4,4,grade:D,0.3721002695728611,7.008305128099354e-12,grade,31.641400697777428,32.0,0.3585993022225722,32.0
5,5,grade:E,0.2183106347456585,5.910955399642755e-06,grade,18.563959328766146,19.0,0.4360406712338545,19.0
6,6,grade:F,0.0490302047360879,0.3272023205864395,grade,4.169264258070753,4.0,-0.1692642580707533,4.0
7,7,home_ownership:OWN,0.0961904298439528,1.8698319665171344e-06,home_ownership,8.17951553079429,8.0,-0.1795155307942906,8.0
8,8,home_ownership:MORTGAGE,0.104736672284438,1.1775308943357576e-16,home_ownership,8.9062419097624,9.0,0.09375809023759984,9.0
9,9,addr_state:NM_VA,0.0448464244580168,0.1609073869796501,addr_state,3.8134981406157245,4.0,0.18650185938427555,4.0
10,10,addr_state:NY,0.0699216983623167,0.0038713327434069,addr_state,5.945764236857065,6.0,0.05423576314293488,6.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.066961886153604,0.0037719312802949,addr_state,5.694077764838227,6.0,0.3059222351617734,6.0
12,12,addr_state:CA,0.0736592813234334,0.0005001196017901,addr_state,6.263588140208798,6.0,-0.26358814020879784,6.0
13,13,addr_state:UT_KY_AZ_NJ,0.0888096085307188,0.0003588703054316,addr_state,7.551890280968977,8.0,0.4481097190310228,8.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1458769489654225,8.951952463914898e-11,addr_state,12.404589225594071,12.0,-0.40458922559407107,12.0
15,15,addr_state:RI_MA_DE_SD_IN,0.1138231767507514,0.0001364704269269,addr_state,9.6789092585144,10.0,0.3210907414855999,10.0
16,16,addr_state:GA_WA_OR,0.1966438876475001,1.6045531943713016e-13,addr_state,16.72153597460624,17.0,0.2784640253937596,17.0
17,17,addr_state:WI_MT,0.2436453079914559,2.8784673830549095e-07,addr_state,20.718283346423355,21.0,0.28171665357664466,21.0
18,18,addr_state:TX,0.2326725922864128,3.1613791059672203e-19,addr_state,19.785222763681478,20.0,0.21477723631852186,20.0
19,19,addr_state:IL_CT,0.2721299110094208,1.1407046126201426e-20,addr_state,23.140460408652185,23.0,-0.140460408652185,23.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3343448938484558,2.3448000086278363e-27,addr_state,28.430887109162235,28.0,-0.43088710916223505,28.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.501560622195647,1.556894505652271e-21,addr_state,42.65001108259477,43.0,0.3499889174052271,43.0
22,22,verification_status:Not Verified,0.0803651657074965,3.652312140931847e-08,verification_status,6.833820392587108,7.0,0.16617960741289206,7.0
23,23,verification_status:Source Verified,-0.0130226711057248,0.3323415106657847,verification_status,-1.1073777374163443,-1.0,0.10737773741634427,-1.0
24,24,purpose:credit_card,0.2832895552490664,1.8945116128104904e-23,purpose,24.089416386127308,24.0,-0.08941638612730785,24.0
25,25,purpose:debt_consolidation,0.1778455304976832,9.931382158415792e-12,purpose,15.123025036358138,15.0,-0.123025036358138,15.0
26,26,purpose:oth__med__vacation,0.1882636804017293,1.571495706272812e-09,purpose,16.00892833339643,16.0,-0.008928333396429622,16.0
27,27,purpose:major_purch__car__home_impr,0.2420606539721248,1.0485816538625959e-14,purpose,20.583532912486408,21.0,0.41646708751359185,21.0
28,28,initial_list_status:w,0.0493192735174423,0.0001584992299472,initial_list_status,4.193845108685434,4.0,-0.1938451086854336,4.0
29,29,term:36,0.0807111829762558,7.797031859944067e-09,term,6.863243835525572,7.0,0.13675616447442795,7.0
30,30,emp_length:1,0.1091781840098394,2.578491843260555e-05,emp_length,9.283924119905988,9.0,-0.2839241199059881,9.0
31,31,emp_length:2-4,0.1334972828600092,1.4619683990616653e-12,emp_length,11.351889166559646,11.0,-0.35188916655964597,11.0
32,32,emp_length:5-6,0.1001441223289716,2.851696223959655e-06,emp_length,8.515716222876227,9.0,0.4842837771237729,9.0
33,33,emp_length:7-9,0.067044068522648,0.0012542208242827,emp_length,5.701066110404863,6.0,0.298933889595137,6.0
34,34,emp_length:10,0.1299036932322224,1.7523001680350936e-12,emp_length,11.04630967991562,11.0,-0.04630967991561974,11.0
35,35,mths_since_issue_d:<38,1.133319198628996,3.2417653249235243e-201,mths_since_issue_d,96.3713542144649,96.0,-0.37135421446490113,96.0
36,36,mths_since_issue_d:38-39,0.943318386487064,6.263130516744906e-175,mths_since_issue_d,80.21470956385194,80.0,-0.2147095638519403,80.0
37,37,mths_since_issue_d:40-41,0.8432394426359663,9.705246986565977e-148,mths_since_issue_d,71.70453576731593,72.0,0.2954642326840684,72.0
38,38,mths_since_issue_d:42-48,0.6517423721412656,8.878595051509817e-114,mths_since_issue_d,55.420657373653825,55.0,-0.4206573736538246,55.0
39,39,mths_since_issue_d:49-52,0.4877152913865972,1.2444551863975833e-56,mths_since_issue_d,41.47267879948379,41.0,-0.47267879948378777,41.0
40,40,mths_since_issue_d:53-64,0.2425385817166885,4.387385995526101e-17,mths_since_issue_d,20.624173311074898,21.0,0.37582668892510185,21.0
41,41,mths_since_issue_d:65-84,-0.0083684800296014,0.77216704089738,mths_since_issue_d,-0.7116104219755679,-1.0,-0.2883895780244321,-1.0
42,42,int_rate:<9.548,0.9654097187966496,9.946566976991624e-37,int_rate,82.09323735518556,82.0,-0.09323735518556475,82.0
43,43,int_rate:9.548-12.025,0.6275312588218317,8.080451363724787e-45,int_rate,53.361874834316,53.0,-0.3618748343159979,53.0
44,44,int_rate:12.025-15.74,0.3624957535598946,5.836116021014175e-23,int_rate,30.82468444002426,31.0,0.1753155599757399,31.0
45,45,int_rate:15.74-20.281,0.1500019623716046,2.3642051551648047e-07,int_rate,12.755358125112844,13.0,0.24464187488715616,13.0
46,46,mths_since_earliest_cr_line:141-164,0.0768711261218913,0.0019843789173505,mths_since_earliest_cr_line,6.536706104793286,7.0,0.46329389520671427,7.0
47,47,mths_since_earliest_cr_line:165-247,0.0570556533346803,0.0043986289569412,mths_since_earliest_cr_line,4.851705136651614,5.0,0.1482948633483856,5.0
48,48,mths_since_earliest_cr_line:248-270,0.1056995391951941,5.55468230082409e-05,mths_since_earliest_cr_line,8.988118920431697,9.0,0.011881079568302866,9.0
49,49,mths_since_earliest_cr_line:271-352,0.1459767471762916,4.359761916020472e-10,mths_since_earliest_cr_line,12.413075527371427,12.0,-0.4130755273714275,12.0
50,50,mths_since_earliest_cr_line:>352,0.1530227937430402,7.642807629758646e-09,mths_since_earliest_cr_line,13.012233337736937,13.0,-0.012233337736937244,13.0
51,51,inq_last_6mths:0,0.265943169462246,0.0042371438272867,inq_last_6mths,22.61437326409715,23.0,0.38562673590285,23.0
52,52,inq_last_6mths:1-2,0.1215184448770584,0.1907874838850816,inq_last_6mths,10.333273369942804,10.0,-0.33327336994280365,10.0
53,53,inq_last_6mths:3-6,-0.0861556589545705,0.3562867568060266,inq_last_6mths,-7.326212718125499,-7.0,0.32621271812549857,-7.0
54,54,acc_now_delinq:>=1,0.1452079248702792,0.1730172720814091,acc_now_delinq,12.347699023672968,12.0,-0.347699023672968,12.0
55,55,annual_inc:20K-30K,-0.18076220478601,2.794537774005709e-05,annual_inc,-15.37104329221103,-15.0,0.3710432922110307,-15.0
56,56,annual_inc:30K-40K,-0.1171212719447543,0.0048210336899564,annual_inc,-9.959361491705877,-10.0,-0.040638508294122744,-10.0
57,57,annual_inc:40K-50K,-0.0222379758557876,0.592057380878785,annual_inc,-1.8909975678550142,-2.0,-0.10900243214498584,-2.0
58,58,annual_inc:50K-60K,0.0425128689017187,0.3114878357103663,annual_inc,3.6150651577745365,4.0,0.3849348422254635,4.0
59,59,annual_inc:60K-70K,0.121088736580998,0.0047806618167249,annual_inc,10.296733293273647,10.0,-0.29673329327364684,10.0
60,60,annual_inc:70K-80K,0.1921235829859938,1.115033800092113e-05,annual_inc,16.337153637998593,16.0,-0.3371536379985933,16.0
61,61,annual_inc:80K-90K,0.2682702174985955,3.601623602467997e-09,annual_inc,22.812252882528043,23.0,0.18774711747195738,23.0
62,62,annual_inc:90K-100K,0.2791594757356462,2.773135982365254e-09,annual_inc,23.738216692163572,24.0,0.2617833078364278,24.0
63,63,annual_inc:100K-120K,0.3595307173421799,1.196603758587568e-14,annual_inc,30.572553746445813,31.0,0.4274462535541872,31.0
64,64,annual_inc:120K-140K,0.4802797185392108,1.2228509133449426e-19,annual_inc,40.840397774394134,41.0,0.159602225605866,41.0
65,65,annual_inc:>140K,0.3861563176201547,1.6328683726641398e-15,annual_inc,32.83665123871943,33.0,0.16334876128056663,33.0
66,66,dti:<=1.4,0.057755693635133,0.5009795643660729,dti,4.911232789444349,5.0,0.08876721055565095,5.0
67,67,dti:1.4-3.5,0.1679168223138889,0.0213489656843969,dti,14.278741224321765,14.0,-0.27874122432176485,14.0
68,68,dti:3.5-7.7,0.201357477708248,0.0016192332188463,dti,17.12235425944218,17.0,-0.12235425944217937,17.0
69,69,dti:7.7-10.5,0.1349137350120629,0.0336689310332038,dti,11.472336620585436,11.0,-0.4723366205854358,11.0
